TaxonId,Organismgrupp,Svenska,Latin,R20,ÅGP,Tu,Si,N2,AD,FD,ASF,0.5,PFS,Ca,SV,Sk,Information
1802,Lavar,stor blanklav,Eopyrenula septemseptata,Akut hotad CR,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
1804,Lavar,asplekania,Lecania fuscella,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: A2bc+3bc+4bc
1806,Lavar,stor bönlekania,Lecania koerberiana,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
1809,Lavar,vedkantlav,Lecanora scanica,Akut hotad CR,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
1810,Lavar,klippdropplav,Cliostomum tenerum,Akut hotad CR,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
1812,Lavar,staketflamlav,Ramboldia insidiosa,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
1813,Lavar,ros-skivlav,Lecidea roseotincta,Akut hotad CR,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
1816,Lavar,luddig stiftdynlav,Micarea hedlundii,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: A2bc+3bc+4bc
1818,Lavar,småfruktigt blågryn,Gregorella humida,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
1820,Lavar,växtklotterlav,Alyxoria culmigena,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: A3bc
1824,Lavar,dvärgporina,Porina leptalea,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
1825,Lavar,vedstjärna,Elixia flexella,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: A2bc+3bc+4b
1826,Lavar,atlantisk vårtlav,Pyrenula occidentalis,Akut hotad CR,,,,,,,,,,,0-0,3,"Rödlistekriterium 2020: D

Arten är skyddsklassad vilket innebär att åtkomst till fynduppgifter måste begränsas. Koordinater som pekar ut platser där arten reproducerar sig får inte visas publikt med större noggrannhet än 5 x 5 km."
1827,Lavar,större småstjärna,Ramonia chrysophaea,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
1828,Lavar,allékrimmerlav,Rinodina colobina,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: A2bc+3b; D
1829,Lavar,falsk allékrimmerlav,Rinodina pityrea,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
1830,Lavar,mångsporig krimmerlav,Rinodina polyspora,Nationellt utdöd RE,,,,,,,,,,,0-0,,
1832,Lavar,vit knagglav,Thalloidima candidum,Akut hotad CR,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
1834,Lavar,svartfruktig knotterlav,Trapeliopsis viridescens,Akut hotad CR,,,,,,,,,,,0-0,3,"Rödlistekriterium 2020: D

Arten är skyddsklassad vilket innebär att åtkomst till fynduppgifter måste begränsas. Koordinater som pekar ut platser där arten reproducerar sig får inte visas publikt med större noggrannhet än 5 x 5 km."
1837,Mossor,skedgrimmia,Grimmia anodon,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C2a(i)
1838,Mossor,sydlig fingerfliksmossa,Kurzia sylvatica,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
1839,Mossor,piskfingermossa,Lepidozia pearsonii,Kunskapsbrist DD,,,,,,,,,,,0-0,,
1841,Mossor,vedflikmossa,Lophozia guttulata,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: A3c+4c
1842,Mossor,polarflikmossa,Lophoziopsis polaris,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
1844,Mossor,knutskapania,Scapania crassiretis,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
1845,Mossor,svämskapania,Scapania glaucocephala,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C2a(i)
1846,Mossor,torntuss,Tortula mucronifolia,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,v)"
1848,Kärlväxter,norddaggkåpa,Alchemilla borealis,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B2a
1849,Kärlväxter,tärnadaggkåpa,Alchemilla taernaënsis,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B1a+2a; D1
1850,Kärlväxter,kantlök,Allium lusitanicum,Starkt hotad EN,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B1ab(ii,iii,v)+2ab(ii,iii,v)"
1851,Kärlväxter,fjällkavle,Alopecurus pratensis subsp. alpestris,Nära hotad NT,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B1ab(ii,iii,v)+2ab(ii,iii,v)"
1852,Kärlväxter,grådådra,Alyssum alyssoides,Nära hotad NT,,,,x,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,v)

Sandstäpp (6120)"
1853,Kärlväxter,mosippa,Pulsatilla vernalis,Starkt hotad EN,x,x,,x,,,8§,,,,MH-MH,,"Rödlistekriterium 2020: A2ac

Åsbarrskog (9060)

Mosippa (Anemone vernalis) är fridlyst enligt 8 § i hela landet.

Signalvärde: Mycket högt

Arten indikerar markstörningar och glesa, sandiga och öppna miljöer."
1854,Kärlväxter,grönkattfot,Antennaria alpina subsp. porsildii,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B2a
1855,Kärlväxter,åkerkulla,Anthemis arvensis,Nära hotad NT,,,,,,,,,,,V-P,,"Rödlistekriterium 2020: A2bc

Signalvärde: Visst-Påtagligt"
1856,Kärlväxter,alvarkösa,Apera interrupta,Nära hotad NT,,,,x,,,,,,,0-0,,"Rödlistekriterium 2020: B2a; D1

Basiska berghällar (6110)"
1857,Kärlväxter,kalknarv,Arenaria gothica,Nära hotad NT,,,,x,,,,,,,0-0,,"Rödlistekriterium 2020: B2a

Alvar (6280)"
1858,Kärlväxter,skrednarv,Arenaria norvegica,Nära hotad NT,,,,x,,,,,,,0-0,,"Rödlistekriterium 2020: B2a

Kalkrasmarker (8120)"
1859,Kärlväxter,kustsandnarv,Arenaria serpyllifolia subsp. lloydii,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B1ab(ii,iii)+2ab(ii,iii)"
1860,Kärlväxter,hålrot,Aristolochia clematitis,Starkt hotad EN,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(iii,iv)"
1861,Kärlväxter,fjällarnika,Arnica angustifolia,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B2a
1863,Kärlväxter,spädlosta,Bromus pseudosecalinus,Akut hotad CR,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B1ab(v)+2ab(v); C2a(i,ii); D"
1865,Kärlväxter,piggtistel,Carduus acanthoides,Nära hotad NT,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,v); C2a(i)"
1866,Kärlväxter,åsstarr,Carex pallidula,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,v)"
1869,Kärlväxter,östersjömålla,Chenopodium striatiforme,Starkt hotad EN,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v); C2a(i)"
1870,Kärlväxter,kustgullpudra,Chrysosplenium oppositifolium,Sårbar VU,,,,,,,8§,,,,O-O,,"Rödlistekriterium 2020: D2

Kustgullpudra (Chrysosplenium oppositifolium) är fridlyst enligt 8 § i hela landet.

Signalvärde: Obestämt"
1872,Kärlväxter,kråkkrassing,Lepidium coronopus,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: A2b; B2ab(iii,v); C1+2a(i)"
