Organismgrupp,Svenska,Latin,R20,ÅGP,Tu,Si,N2,AD,FD,ASF,_50%,PFS,Ca,Sk,Information
Kärlväxter,Sandsvingel,Festuca polesica,,,,,x,,,,,,,,Sandstäpp (6120)
Kärlväxter,Sandsyra,Rumex acetosella subsp. arenicola,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: B2ab(v)
Kärlväxter,Sandtimotej,Phleum arenarium,Sårbar VU,,,,x,,,,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)c(iv)

Sandstäpp (6120)

Grå dyner (2130)"
Kärlväxter,Sandvedel,Astragalus arenarius,Starkt hotad EN,,,,x,,,8§,,,,,"Rödlistekriterium 2020: B1ab(ii,iii,v)+2ab(ii,iii,v)

Sandstäpp (6120)

Sandvedel (Astragalus arenarius) är fridlyst enligt 8 § i hela landet."
Kärlväxter,Sandvide,Salix repens var. argentea,,,,,x,,,,,,,,Sandvidedyner (2170)
Kärlväxter,Sandviol,Viola rupestris,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: A2b
Kärlväxter,Sankmaskros,Taraxacum pseudosuecicum,Akut hotad CR,,,,,,,,,,,,Rödlistekriterium 2020: C2a(i)
Kärlväxter,Sankt Pers nycklar,Orchis mascula,,,x,,x,,,8§,,,,,"Kalkgräsmarker (6210)

Lövängar (6530)

Stagg-gräsmarker (6230)

Enbuskmarker (5130)

Orkidéer (samtliga arter i familjerna Orchidaceae och Cypripediaceae utom de som anges i bilaga 1) är fridlysta enligt 8 § i hela landet."
Kärlväxter,Selleri,Apium graveolens,Akut hotad CR,,,,,,,,,,,,Rödlistekriterium 2020: D
Kärlväxter,Senfibbla,Hieracium cunctans,Sårbar VU,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)"
Kärlväxter,Serpentinkämpar,Plantago maritima subsp. serpentina,,,x,,,,,,,,,,
Kärlväxter,Sickelmaskros,Taraxacum naevosiforme,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D1
Kärlväxter,Silkesfibbla,Hieracium praeviride,Sårbar VU,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)"
Kärlväxter,Sillrefibbla,Hieracium sillrense,Kunskapsbrist DD,,,,,,,,,,,,
Kärlväxter,Siltefibbla,Hieracium siltense,Kunskapsbrist DD,,,,,,,,,,,,
Kärlväxter,Silverbergsfibbla,Hieracium argentimontanum,Starkt hotad EN,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v); C2a(i)"
Kärlväxter,Silverfibbla,Hieracium argentarium,Sårbar VU,,,,,,,,,,,,"Rödlistekriterium 2020: B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); D1"
Kärlväxter,Silvermålla,Atriplex rosea,Nationellt utdöd RE,,,,,,,,,,,,
Kärlväxter,Silverviol,Viola alba,Akut hotad CR,,,,,,,8§,,,,,"Rödlistekriterium 2020: B1ab(iii,v)

Silverviol (Viola alba) är fridlyst enligt 8 § i hela landet."
Kärlväxter,Sjuhörnig daggkåpa,Alchemilla heptagona,Sårbar VU,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(i,ii,iii,iv,v)"
Kärlväxter,Sjöfräken,Equisetum fluviatile,,,,,x,,,,,,,,Svämängar (6450)
Kärlväxter,Sjönajas,Najas flexilis,Sårbar VU,,,,,"II, IV",,7§,,,,,"Rödlistekriterium 2020: B2ab(iii,iv,v)

Arten är listad i bilaga 2 till art- och habitatdirektivet eftersom den har sådant unionsintresse att särskilda bevarandeområden behöver utses. Arten finns upptagen i bilaga 4 till art- och habitatdirektivet därför att den kräver noggrant skydd.

Sjönajas (Najas flexilis) är fridlyst enligt 7 § i hela landet."
Kärlväxter,Sjönöt,Trapa natans,Nationellt utdöd RE,,,,,,,,,,,,
Kärlväxter,Sjöranunkel,Ranunculus lingua,,,,,x,,,,,,,,Naturligt näringsrika sjöar (3150)
Kärlväxter,Sjötåtel,Deschampsia setacea,Sårbar VU,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(iii,v)"
Kärlväxter,Skaftmålla,Atriplex longipes subsp. longipes,,,,,x,,,,,,,,Driftvallar (1210)
Kärlväxter,Skaftslamkrypa,Elatine hexandra,Sårbar VU,x,,,x,,,,,,,,"Rödlistekriterium 2020: A2b; B2ab(i,ii,iii,iv,v)

Näringsfattiga slättsjöar (3110)"
Kärlväxter,Skageracksbjörnbär,Rubus nordicus,,,,,,,,,,,,,
Kärlväxter,Skallror,Rhinanthus,,,x,,,,,,,,,,
Kärlväxter,Skarptandad daggkåpa,Alchemilla oxyodonta,Starkt hotad EN,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v); C2a(i)"
Kärlväxter,Skevmaskros,Taraxacum ruberulum,Akut hotad CR,,,,,,,,,,,,Rödlistekriterium 2020: C2a(i); D
Kärlväxter,Skifferfibbla,Hieracium epicrocifolium,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D1
Kärlväxter,Skinkfibbla,Hieracium eumeces,Sårbar VU,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)"
Kärlväxter,Skinnfibbla,Hieracium coriarium,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: D1
Kärlväxter,Skogsalm,Ulmus glabra,Akut hotad CR,,,,,,,,,,,,"Rödlistekriterium 2020: A3be+4abe

Skogsalm växer gärna på näringsrik mullrik mark. Skogsalmen är akut hotad på grund av almsjukan."
Kärlväxter,Skogsbingel,Mercurialis perennis,,,,,x,,,,,,,,"Näringsrik granskog (9050)

Näringsrik bokskog (9130)

Näringsrik ekskog (9160)

Ädellövskog i branter (9180)

Nordlig ädellövskog (9020)"
Kärlväxter,Skogsbräsma,Cardamine flexuosa,,,,x,,,,,,,,,
Kärlväxter,Skogsfru,Epipogium aphyllum,Nära hotad NT,,,,,,,8§,,,,3.0,"Rödlistekriterium 2020: A2b; C2a(i)

Orkidéer (samtliga arter i familjerna Orchidaceae och Cypripediaceae utom de som anges i bilaga 1) är fridlysta enligt 8 § i hela landet.

Arten är skyddsklassad vilket innebär att åtkomst till fynduppgifter måste begränsas. Koordinater som pekar ut platser där arten reproducerar sig får inte visas publikt med större noggrannhet än 5 x 5 km. Gäller endast i Götaland och Svealand, visas öppet i Norrland."
Kärlväxter,Skogsklocka,Campanula cervicaria,Nära hotad NT,,,,,,,8§,,,,,"Rödlistekriterium 2020: A2b

Skogsklocka (Campanula cervicaria) är fridlyst enligt 8 § i Jämtlands och Västra Götalands län."
Kärlväxter,Skogsknipprot,Epipactis helleborine,,,,x,x,,,8§,,,,,"Näringsrik granskog (9050)

Orkidéer (samtliga arter i familjerna Orchidaceae och Cypripediaceae utom de som anges i bilaga 1) är fridlysta enligt 8 § i hela landet."
Kärlväxter,Skogskorn,Hordelymus europaeus,Sårbar VU,,,,x,,,,,,,,"Rödlistekriterium 2020: B2ab(iii,v)

Nordlig ädellövskog (9020)"
Kärlväxter,Skogslysing,Lysimachia nemorum,Nära hotad NT,,,,x,,,,,,,,"Rödlistekriterium 2020: B2a

Lövsumpskog (9080)"
Kärlväxter,Skogsnattviol,Platanthera bifolia subsp. latiflora,,,,,,,,8§,,,,,Orkidéer (samtliga arter i familjerna Orchidaceae och Cypripediaceae utom de som anges i bilaga 1) är fridlysta enligt 8 § i hela landet.
Kärlväxter,Skogsnycklar,Dactylorhiza maculata subsp. fuchsii,,,x,x,x,,,8§,,,,,"Lövängar (6530)

Slåtterängar i låglandet (6510)

Orkidéer (samtliga arter i familjerna Orchidaceae och Cypripediaceae utom de som anges i bilaga 1) är fridlysta enligt 8 § i hela landet."
Kärlväxter,Skogsrör,Calamagrostis chalybaea,,,,,,"II, IV",,7§,,,,,"Arten är listad i bilaga 2 till art- och habitatdirektivet eftersom den har sådant unionsintresse att särskilda bevarandeområden behöver utses. Arten finns upptagen i bilaga 4 till art- och habitatdirektivet därför att den kräver noggrant skydd.

Skogsrör (Calamagrostis chalybaea) är fridlyst enligt 7 § i hela landet."
Kärlväxter,Skogssallat,Lactuca muralis,,,,,x,,,,,,,,Uppspruckna kalkstenshällmarker (8240)
Kärlväxter,Skogsstjärna,Lysimachia europaea,,,,,x,,,,,,,,Näringsfattig ekskog (9190)
Kärlväxter,Skogssvingel,Drymochloa sylvatica,Nära hotad NT,,,,x,,,,,,,,"Rödlistekriterium 2020: B2ab(iii,v)

Ädellövskog i branter (9180)

Nordlig ädellövskog (9020)"
Kärlväxter,Skogsveronika,Veronica montana,Nära hotad NT,,,,x,,,,,,,,"Rödlistekriterium 2020: A2b; B2ab(ii,iii,v)

Näringsrik bokskog (9130)"
Kärlväxter,Skogsvinbär,Ribes spicatum,,,,,x,,,,,,,,Högörtängar (6430)
Kärlväxter,Skottlandsmaskros,Taraxacum subnaevosum,Nationellt utdöd RE,,,,,,,,,,,,
Kärlväxter,Skottlandsögontröst,Euphrasia scottica,Nationellt utdöd RE,,x,,,,,,,,,,
Kärlväxter,Skrednarv,Arenaria norvegica,Nära hotad NT,,,,x,,,,,,,,"Rödlistekriterium 2020: B2a

Kalkrasmarker (8120)"
Kärlväxter,Skruvax,Spiranthes spiralis,,,,,,,,8§,,,,,Orkidéer (samtliga arter i familjerna Orchidaceae och Cypripediaceae utom de som anges i bilaga 1) är fridlysta enligt 8 § i hela landet.
Kärlväxter,Skruvmaskros,Taraxacum tortilobum,Akut hotad CR,,,,,,,,,,,,Rödlistekriterium 2020: D
Kärlväxter,Skruvnating,Ruppia spiralis,,,,,x,,,,,,,,"Laguner (1150)

Stora vikar och sund (1160)

Smala Östersjövikar (1650)

Sublittorala sandbankar (1110)"
Kärlväxter,Skuggbjörnbär,Rubus sciocharis,Starkt hotad EN,,,,,,,,,,,,Rödlistekriterium 2020: D
Kärlväxter,Skuggbräken,Polystichum braunii,Akut hotad CR,,,,,,,8§,,,,3.0,"Rödlistekriterium 2020: D

Skuggbräken (Polystichum braunii) är fridlyst enligt 8 § i hela landet.

Arten är skyddsklassad vilket innebär att åtkomst till fynduppgifter måste begränsas. Koordinater som pekar ut platser där arten reproducerar sig får inte visas publikt med större noggrannhet än 5 x 5 km."
Kärlväxter,Skugglosta,Bromopsis ramosa,Nära hotad NT,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(iii,v)"
Kärlväxter,Skuggviol,Viola selkirkii,Nära hotad NT,,,,x,,,,,,,,"Rödlistekriterium 2020: B2ab(iii,v)

Svämlövskog (91E0)"
Kärlväxter,Skytfibbla,Hieracium scytophyllum,Sårbar VU,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)"
Kärlväxter,Skäckfibbla,Hieracium cinereotectum,Sårbar VU,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)"
Kärlväxter,Skärblad,Falcaria vulgaris,Starkt hotad EN,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(i,ii,iii)"
Kärlväxter,Skärklittsfibbla,Hieracium trunciceps,Kunskapsbrist DD,,,,,,,,,,,,
Kärlväxter,Skärmstarr,Carex remota,,,,,x,,,,,,,,Lövsumpskog (9080)
Kärlväxter,Skånebjörnbär,Rubus axillaris,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: D1
Kärlväxter,Skånsk sandnejlika,Dianthus arenarius subsp. arenarius,,,,,,"II, IV",,7§,,,,,"Arten är listad i bilaga 2 till art- och habitatdirektivet eftersom den har sådant unionsintresse att särskilda bevarandeområden behöver utses. Arten finns upptagen i bilaga 4 till art- och habitatdirektivet därför att den kräver noggrant skydd.

Skånsk sandnejlika (Dianthus arenarius subsp. arenarius) är fridlyst enligt 7 § i hela landet."
Kärlväxter,Skånskt oxbär,Cotoneaster kullensis,Sårbar VU,,,,,,,,,,,,"Rödlistekriterium 2020: B1ab(iii,v)+2ab(iii,v); D1"
Kärlväxter,Sköldfibbla,Hieracium parmiferum,Akut hotad CR,,,,,,,,,,,,"Rödlistekriterium 2020: B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
Kärlväxter,Sköldmöja (aggregat),Ranunculus peltatus agg.,,,,,x,,,,,,,,Större vattendrag (3210)
Kärlväxter,Skörbjuggsört,Cochlearia officinalis,,,,,x,,,,,,,,Vegetationsklädda havsklippor (1230)
Kärlväxter,Slakstarr,Carex laxa,,,,,x,,,,,,,,Aapamyrar (7310)
Kärlväxter,Slankstarr,Carex flacca,,,,,x,,,,,,,,Fuktängar (6410)
Kärlväxter,Slarvfibbla,Hieracium amorphophyllum,Kunskapsbrist DD,,,,,,,,,,,,
Kärlväxter,Slickmaskros,Taraxacum linguatifrons,Starkt hotad EN,,,,,,,,,,,,Rödlistekriterium 2020: D
Kärlväxter,Slidnate,Stuckenia vaginata,Nära hotad NT,,,,x,,,,,,,,"Rödlistekriterium 2020: B2ab(iii,v)

Stora vikar och sund (1160)"
Kärlväxter,Slidsilja,Selinum dubium,,,,,,,,,,,,,
Kärlväxter,Slingerfibbla,Hieracium mutabundum,Kunskapsbrist DD,,,,,,,,,,,,
Kärlväxter,Slipfibbla,Hieracium acuens,Starkt hotad EN,,,,,,,,,,,,"Rödlistekriterium 2020: B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
Kärlväxter,Slitsfibbla,Hieracium polyschistomorphum,Akut hotad CR,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)"
Kärlväxter,Slokbjörnbär,Rubus flaccidifolius,Starkt hotad EN,,,,,,,,,,,,Rödlistekriterium 2020: D
Kärlväxter,Sländmaskros,Taraxacum onychodontum,Starkt hotad EN,,,,,,,,,,,,Rödlistekriterium 2020: C2a(i)
Kärlväxter,Slätbjörnbär,Rubus eluxatus,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: D1
Kärlväxter,Slätfibbla,Hieracium leiocranum,Sårbar VU,,,,,,,,,,,,"Rödlistekriterium 2020: B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); D1"
Kärlväxter,Slätmaskros,Taraxacum lissocarpum,Akut hotad CR,,,,,,,,,,,,Rödlistekriterium 2020: C2a(i)
Kärlväxter,Slåtterblomma,Parnassia palustris,,,x,,x,,,,,,,,"Fuktängar (6410)

Svämängar (6450)

Slåtterängar i låglandet (6510)

Lövängar (6530)

Rikkärr (7230)

Aapamyrar (7310)

Strandängar vid Östersjön (1630)"
Kärlväxter,Slåtterfibbla,Hypochaeris maculata,Nära hotad NT,,x,,x,,,,,,,,"Rödlistekriterium 2020: A2b

Stagg-gräsmarker (6230)

Silikatgräsmarker (6270)

Slåtterängar i låglandet (6510)

Lövängar (6530)

Åsbarrskog (9060)

Trädklädd betesmark (9070)

Rullstensåsöar i Östersjön (1610)"
Kärlväxter,Slåttergubbe,Arnica montana,Sårbar VU,,x,,x,,,,,,,,"Rödlistekriterium 2020: A2bc+4bc

Enbuskmarker (5130)

Stagg-gräsmarker (6230)

Silikatgräsmarker (6270)

Slåtterängar i låglandet (6510)

Lövängar (6530)

Torra hedar (4030)"
Kärlväxter,Slåttermaskros,Taraxacum praticola,Kunskapsbrist DD,,,,,,,,,,,,
Kärlväxter,Smal blyfibbla,Hieracium fraudulentum,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D1
Kärlväxter,Smal fläckmaskros,Taraxacum lentiginosum,Akut hotad CR,,,,,,,,,,,,Rödlistekriterium 2020: C2a(i); D
Kärlväxter,Smal glattfibbla,Hieracium linophyton,Kunskapsbrist DD,,,,,,,,,,,,
Kärlväxter,Smal gnejsfibbla,Hieracium elongatifrons,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: B2a; D1
Kärlväxter,Smal guldkornsfibbla,Hieracium subpunctillatum,Nära hotad NT,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)"
Kärlväxter,Smal hönsarv,Cerastium fontanum var. kajanense,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: D1+2
Kärlväxter,Smal käringtand,Lotus tenuis,Sårbar VU,,,,x,,,,,,,,"Rödlistekriterium 2020: B2ab(v)

Salta strandängar (1330)"
Kärlväxter,Smal randfibbla,Hieracium subpilulatum,Kunskapsbrist DD,,,,,,,,,,,,
Kärlväxter,Smal rödbetsfibbla,Hieracium lepidiforme,Nära hotad NT,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)"
Kärlväxter,Smal ängssyra,Rumex acetosa var. serpentinicola,Nära hotad NT,,,,,,,,,,,,
Kärlväxter,Smalarun,Centaurium littorale,,,x,,x,,,8§,,,,,"Strandängar vid Östersjön (1630)

Salta strandängar (1330)

Smalarun (Centaurium littorale) och dess två underarter kustarun (var. littorale) och topparun (var. glomeratum) är fridlysta enligt 8 § i Västra Götalands län."
Kärlväxter,Smalbladig lungört,Pulmonaria angustifolia,Starkt hotad EN,,,,x,,,8§,,,,,"Rödlistekriterium 2020: B2ab(i,ii,iii,v)

Kalkgräsmarker (6210)

Smalbladig lungört (Pulmonaria angustifolia) är fridlyst enligt 8 § i hela landet."
Kärlväxter,Smalfibbla,Hieracium perelegans,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: D1
Kärlväxter,Smalfjällig strandmaskros,Taraxacum egregium,Nära hotad NT,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)"
Kärlväxter,Smalgentiana,Gentianella amarella,,,,,x,,,8§,,,,,"Slåtterängar i låglandet (6510)

Ängsgentiana (Gentianella amarella) är fridlyst enligt 8 § i Värmlands och Västra Götalands län."
Kärlväxter,Smalruta,Thalictrum simplex subsp. tenuifolium,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: A2b; C1+2a(i)
Kärlväxter,Smalskallra,Rhinanthus minor subsp. stenophyllus,,,x,,,,,,,,,,
Kärlväxter,Smalstäkra,Oenanthe lachenalii,Sårbar VU,,,,,,,8§,,,,,"Rödlistekriterium 2020: D2

Smalstäkra (Oenanthe lachenalii) är fridlyst enligt 8 § i hela landet."
Kärlväxter,Smalt ålgräs,Zostera angustifolia,Starkt hotad EN,,,,,,,,,,,,"Rödlistekriterium 2020: B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C1"
Kärlväxter,Smedfibbla,Hieracium neritodon,Starkt hotad EN,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v); C2a(i)"
Kärlväxter,Sminkrot,Buglossoides arvensis,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: A2b
Kärlväxter,Smultronfingerört,Potentilla sterilis,Sårbar VU,,,,,,,8§,,,,,"Rödlistekriterium 2020: B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)

Smultronfingerört (Potentilla sterilis) är fridlyst enligt 8 § i hela landet."
Kärlväxter,Smultronklöver,Trifolium fragiferum,,,x,,x,,,,,,,,"Salta strandängar (1330)

Strandängar vid Östersjön (1630)"
Kärlväxter,Smyckefibbla,Hieracium ornatum,Nära hotad NT,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v); C2a(i)"
Kärlväxter,Smällvedel,Astragalus penduliflorus,Sårbar VU,x,,,,,,8§,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,v)

Smällvedel (Astragalus penduliflorus) är fridlyst enligt 8 § i hela landet."
Kärlväxter,Småfibbla,Hieracium inophyllum,Starkt hotad EN,,,,,,,,,,,,"Rödlistekriterium 2020: B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
Kärlväxter,Småfingerört,Potentilla verna,,,,,x,,,,,,,,"Slåtterängar i låglandet (6510)

Lövängar (6530)

Kalkgräsmarker (6210)"
Kärlväxter,Småfrossört,Scutellaria minor,Starkt hotad EN,,,,,,,8§,,,,,"Rödlistekriterium 2020: B1ab(iii)

Småfrossört (Scutellaria minor) är fridlyst enligt 8 § i hela landet."
Kärlväxter,Småjungfrukam,Aphanes australis,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: A2b
Kärlväxter,Småkorgig vargfibbla,Hieracium juncinescens,Starkt hotad EN,,,,,,,,,,,,"Rödlistekriterium 2020: B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i); D"
Kärlväxter,Smålandsbjörnbär,Rubus vigorosus,Akut hotad CR,,,,,,,,,,,,"Rödlistekriterium 2020: B1ab(iii,v)+2ab(iii,v); C2a(i); D"
Kärlväxter,Småländsk rufsfibbla,Hieracium subramosum,Sårbar VU,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v); D1"
Kärlväxter,Smålånke,Callitriche palustris,,,,,x,,,,,,,,Större vattendrag (3210)
Kärlväxter,Smånunneört,Corydalis intermedia,,,,,x,,,,,,,,Ädellövskog i branter (9180)
Kärlväxter,Småsileshår,Drosera intermedia,,,,,x,,,,,,,,"Öppna mossar och kärr (7140)

Fukthedar (4010)"
Kärlväxter,Småsnärjmåra,Galium spurium subsp. vaillantii,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: A2b
Kärlväxter,Småsvalting,Alisma wahlenbergii,Nära hotad NT,x,,,,"II, IV",,7§,,,,,"Rödlistekriterium 2020: B2a

Arten är en prioriterad art enligt art- och habitatdirektivet där den är upptagen i bilaga 2 eftersom den har sådant unionsintresse att särskilda bevarandeområden behöver utses. Arten finns upptagen i bilaga 4 till art- och habitatdirektivet därför att den kräver noggrant skydd."
Kärlväxter,Småtandad fibbla,Hieracium subintegratum,Kunskapsbrist DD,,,,,,,,,,,,
Kärlväxter,Småtörel,Euphorbia exigua,Nära hotad NT,x,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(iii,iv,v)"
Kärlväxter,Småvänderot,Valeriana dioica,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: A2b
Kärlväxter,Smörbollar,Trollius europaeus,,,x,,x,,,"8§,9§",,,,,"Högörtängar (6430)

Slåtterängar i låglandet (6510)

Lövängar (6530)

Fuktängar (6410)

Smörboll (Trollius europaeus) är fridlyst dels enligt 8 § i Blekinge län, på Öland i Kalmar län samt i Skåne, Södermanlands, Västmanlands och Örebro län, dels enligt 9 § i Jönköpings, Kronobergs, Värmlands och Västra Götalands län."
Kärlväxter,Snaggfibbla,Hieracium brevipilosum,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: D1
Kärlväxter,Snibbfibbla,Hieracium percrenatum,Kunskapsbrist DD,,,,,,,,,,,,
Kärlväxter,Snip,Trichophorum alpinum,,,,,x,,,,,,,,"Rikkärr (7230)

Aapamyrar (7310)

Öppna mossar och kärr (7140)"
Kärlväxter,Snipfibbla,Hieracium mucrodentatum,Akut hotad CR,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v); C2a(i)"
Kärlväxter,Snurrfibbla,Hieracium turbiniceps,Nära hotad NT,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)"
Kärlväxter,Snöbräcka,Saxifraga rivularis,,,,,x,,,,,,,,Alpina rishedar (4060)
Kärlväxter,Snöfryle,Luzula nivalis,Nära hotad NT,,,,,"II, IV",,7§,,,,,"Rödlistekriterium 2020: B2a

Arten är listad i bilaga 2 till art- och habitatdirektivet eftersom den har sådant unionsintresse att särskilda bevarandeområden behöver utses. Arten finns upptagen i bilaga 4 till art- och habitatdirektivet därför att den kräver noggrant skydd.

Snöfryle (Luzula nivalis) är fridlyst enligt 7 § i hela landet."
Kärlväxter,Sodaört,Salsola kali,,,,,x,,,,,,,,Driftvallar (1210)
Kärlväxter,Solmaskros,Taraxacum dissimile,Akut hotad CR,,,,,,,,,,,,Rödlistekriterium 2020: C2a(i)
Kärlväxter,Solvända,Helianthemum nummularium,Nära hotad NT,,x,,x,,,,,,,,"Rödlistekriterium 2020: A2b

Solvända är inte rödlistad, däremot är underarterna ljus solvända och mörk solvända båda rödlistade.

Solvända är kalkgynnad och kväveskyende och fungerar som signalart för hävd.

Kalkgräsmarker (6210)

Stagg-gräsmarker (6230)

Silikatgräsmarker (6270)

Lövängar (6530)

Enbuskmarker (5130)"
Kärlväxter,Sommarfibbla,Leontodon hispidus,Nära hotad NT,,x,,x,,,,,,,,"Rödlistekriterium 2020: A2bc+4abc

Silikatgräsmarker (6270)

Slåtterängar i låglandet (6510)

Lövängar (6530)

Kalkgräsmarker (6210)"
Kärlväxter,Sommarklynne,Valerianella dentata,Sårbar VU,x,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v); C1+2a(i)"
Kärlväxter,Sorgfibbla,Hieracium lugubre,Sårbar VU,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)"
Kärlväxter,Sorgmaskros,Taraxacum canaliculatum,Starkt hotad EN,,,,,,,,,,,,Rödlistekriterium 2020: C2a(i)
Kärlväxter,Sotfibbla,Hieracium infumatum,Kunskapsbrist DD,,,,,,,,,,,,
Kärlväxter,Sotigelknopp × glansigelknopp,Sparganium erectum × neglectum,,,,,,,,,,,,,
Kärlväxter,Spatelfibbla,Hieracium dactylites,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: D1
Kärlväxter,Spegelfibbla,Hieracium speculare,Starkt hotad EN,,,,,,,,,,,,Rödlistekriterium 2020: D
Kärlväxter,Spenslig fetknopp,Sedum gracile,,,x,,,,,,,,,,
Kärlväxter,Spenslig fjällnejlika,Viscaria alpina var. serpentinicola,Nära hotad NT,,,,,,,,,,,,
Kärlväxter,Spetsfibbla,Hieracium apicum,Starkt hotad EN,,,,,,,,,,,,Rödlistekriterium 2020: D
Kärlväxter,Spetsfingerört,Sibbaldianthe bifurca,,,,,,,,8§,,,,,Spetsfingerört (Schistophyllum bifurcum) är fridlyst enligt 8 § i hela landet.
Kärlväxter,Spetsfjällig glandelfibbla,Hieracium hemidiaphanum,Sårbar VU,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)"
Kärlväxter,Spetsfjällig trollfibbla,Hieracium phaeocomoides,Kunskapsbrist DD,,,,,,,,,,,,
Kärlväxter,Spetsjungfrulin,Polygala vulgaris subsp. oxyptera,,,x,,,,,,,,,,
Kärlväxter,Spetsnate,Potamogeton acutifolius,Sårbar VU,,,,,,,8§,,,,,"Rödlistekriterium 2020: A2ab; B2ab(ii,iii,v)

Spetsnate (Potamogeton acutifolius) är fridlyst enligt 8 § i hela landet."
Kärlväxter,Spikblad,Hydrocotyle vulgaris,,,,,x,,,,,,,,Dynvåtmarker (2190)
Kärlväxter,Spikmaskros,Taraxacum spiculatum,Kunskapsbrist DD,,,,,,,,,,,,
Kärlväxter,Spindelblomster,Neottia cordata,,,,x,x,,,8§,,,,,"Fjällbjörkskog (9040)

Näringsrik granskog (9050)

Taiga (9010)

Orkidéer (samtliga arter i familjerna Orchidaceae och Cypripediaceae utom de som anges i bilaga 1) är fridlysta enligt 8 § i hela landet."
Kärlväxter,Spindelört,Thesium alpinum,Nära hotad NT,,,,x,,,,,,,,"Rödlistekriterium 2020: B2ab(iii,v)

Silikatgräsmarker (6270)"
Kärlväxter,Spjutmålla,Atriplex prostrata,,,,,x,,,,,,,,Driftvallar (1210)
Kärlväxter,Spjutskråp,Petasites spurius,,,,,x,,,,,,,,Sandstränder vid Östersjön (1640)
Kärlväxter,Spjutsporre,Kickxia elatine,Starkt hotad EN,x,,,,,,8§,,,,,"Rödlistekriterium 2020: B2ab(i,ii,iii,iv,v)

Spjutsporre (Kickxia elatine) är fridlyst enligt 8 § i hela landet."
Kärlväxter,Spjutögontröst,Euphrasia salisburgensis,,,x,,x,,,,,,,,Kalkrasmarker (8120)
